picUrl,priceRange1,productId,minQuantity,name,subCategoryType,category,date,quantity,priceRange2,price,warrentyType,description,priceRange3,company,priceRange4,subCategory,discount,priceRange5
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/LIGHT%20ITEMS%20%2FTUBE%20LIGHT%2FTUBE%20LIGHT%20FAME%2F4Ft%20led%20tube%20light%20holder_796c12b2-73ca-4cc6-9fce-a20a03213e9d.png?alt=media&token=0f6d950c-09ed-4423-9d40-c0a0d9911ccb,"[1.0, 10.0, 120.0]",796c12b2-73ca-4cc6-9fce-a20a03213e9d,1.0,4Ft led tube light holder,TUBE LIGHT FAME,LIGHT ITEMS ,2022-01-04 10:35:31.746000+00:00,100.0,"[0.0, 0.0, 0.0]",120.0,No Guarantee,"4FT Led Tube Lamp holder
 Single T8 Tube Frame for T8 Tube Light","[0.0, 0.0, 0.0]",Made in China ,"[0.0, 0.0, 0.0]",TUBE LIGHT,20.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/METAL%20BOX%20AND%20DISTRIBUTION%20BOX%2FDB%20BOX(Distribution%20Box)%2FHeavy%20Metal%20DB%20box%2F8%20way%20Db%20Box_bc915b8a-6e00-4d63-bed0-1d585531a23b.png?alt=media&token=69d90c42-4923-4311-b4f6-e0e4bdc91d90,"[1.0, 10.0, 870.0]",bc915b8a-6e00-4d63-bed0-1d585531a23b,1.0,8 way Db Box,Heavy Metal DB box,METAL BOX AND DISTRIBUTION BOX,2022-01-04 10:16:39.876000+00:00,100.0,"[0.0, 0.0, 0.0]",870.0,No Guarantee,240/440volt,"[0.0, 0.0, 0.0]",MILLBORN,"[0.0, 0.0, 0.0]",DB BOX(Distribution Box),20.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/LIGHT%20ITEMS%20%2FTUBE%20LIGHT%2FTUBE%20LIGHT%20FAME%2F4FT%20Led%20Tube%20Lamp%20holder%20_58366d71-b0e3-43d0-9403-586ab580f9ed.png?alt=media&token=be24875b-1033-4669-8b20-8746919c1e7f,"[1.0, 10.0, 80.0]",58366d71-b0e3-43d0-9403-586ab580f9ed,1.0,4FT Led Tube Lamp holder ,TUBE LIGHT FAME,LIGHT ITEMS ,2022-01-04 10:36:49.349000+00:00,1000.0,"[0.0, 0.0, 0.0]",80.0,No Guarantee,"4FT Led Tube Lamp holder Single
 T8 Tube Frame for T8 Tube Light","[0.0, 0.0, 0.0]",Made in China ,"[0.0, 0.0, 0.0]",TUBE LIGHT,20.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/SWITCH%20AND%20SOCKETS%2FSwift%20gold%2FGANG%20SWITCH%2F3%20Gang%201%20way%2010%20A%20switch%20_555e1c77-b288-4848-a05f-6b5967d09e28.png?alt=media&token=0f844945-2463-423e-b29f-414bfa2cca19,"[1.0, 10.0, 135.0]",555e1c77-b288-4848-a05f-6b5967d09e28,1.0,3 Gang 1 way 10 A switch ,GANG SWITCH,SWITCH AND SOCKETS,2022-01-04 08:48:19.621000+00:00,100.0,"[0.0, 0.0, 0.0]",135.0,No Guarantee,"Colour white
20 Year GUARANTEE
High Efficiency 
Modern  Design 
safety and Accurancy","[0.0, 0.0, 0.0]",Swift gold,"[0.0, 0.0, 0.0]",Swift gold,40.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/LIGHT%20ITEMS%20%2FLED%20BULB%2FSIGNATURE%20LED%20BULB%2F7W%20led%20Bulb%20B22%2FE27%20_2cccbb83-372d-4a3c-902f-a44c6650a2bb.png?alt=media&token=31f5a71f-4f85-4cbe-9c9e-a34a9159ea32,"[1.0, 5.0, 225.0]",2cccbb83-372d-4a3c-902f-a44c6650a2bb,1.0,7W led Bulb B22/E27 ,SIGNATURE LED BULB,LIGHT ITEMS ,2021-12-20 07:56:16.662000+00:00,1000.0,"[6.0, 10.0, 200.0]",225.0,2 Years,"Light Effect 100Lm
Led chip 2835
Voltag 85-265v
life :-50000
Luminous Flux :-450-500lm","[11.0, 50.0, 175.0]",SIGNATURE PREMIUM LED LIGHT,"[51.0, 100.0, 85.0]",LED BULB,25.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/ELECTRICAL%20ACCESSORIES%20%2FHOLDER%20%2FANGLE%20HOLDER%2FANGLE%20Holder%20IK%20(Medium)_26cbdc6d-d0f0-4c36-9c5e-6158dcfe033c.png?alt=media&token=4773143e-93e5-492c-8242-df2266c6491e,"[1.0, 40.0, 45.0]",26cbdc6d-d0f0-4c36-9c5e-6158dcfe033c,1.0,ANGLE Holder IK (Medium),ANGLE HOLDER,ELECTRICAL ACCESSORIES ,2021-12-16 09:17:22.475000+00:00,1000.0,"[41.0, 1000.0, 28.0]",45.0,No Guarantee,"6 Amp 240 Volt
B22","[0.0, 0.0, 0.0]",Made in India,"[0.0, 0.0, 0.0]",HOLDER ,15.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/LIGHT%20ITEMS%20%2FLED%20BULB%2FWega%2F9W%20Led%20Bulb%20B22%2FE27%20_e057d67a-c0c2-4266-b63f-e95429e14dad.png?alt=media&token=e7bfc39a-4b49-4107-937f-e68ac903aa2e,"[1.0, 5.0, 200.0]",e057d67a-c0c2-4266-b63f-e95429e14dad,1.0,9W Led Bulb B22/E27 ,Wega,LIGHT ITEMS ,2021-12-20 07:12:34.636000+00:00,1000.0,"[6.0, 10.0, 180.0]",200.0,1 Year,"Light Effect 100Lm
Led chip 2835
Voltag 100-240v
life :-25000
Luminous Flux :-450-500lm","[11.0, 20.0, 170.0]",WEGA,"[21.0, 50.0, 160.0]",LED BULB,25.0,"[51.0, 100.0, 155.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/MACHINERY%20%20%26%20Tools%2FPOWER%20TOOLS%2FANGLE%20GRINDER%20%2FAngle%20Grander%20TIEODAO%20_4697c21b-1403-4583-8930-ea9f193eee95.png?alt=media&token=8fe947f0-a2ef-48a5-a615-ae0be1b63658,"[1.0, 100.0, 2999.0]",4697c21b-1403-4583-8930-ea9f193eee95,1.0,Angle Grander TIEODAO ,ANGLE GRINDER ,MACHINERY  & Tools,2022-01-07 06:32:33.955000+00:00,100.0,"[0.0, 0.0, 0.0]",2999.0,No Guarantee,"220v/50hz
800W
11000rpm","[0.0, 0.0, 0.0]",Made in China ,"[0.0, 0.0, 0.0]",POWER TOOLS,20.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/MACHINERY%20%20%26%20Tools%2FPOWER%20TOOLS%2FANGLE%20GRINDER%20%2FAngle%20Grinder%20%20Prescott_c8eba0f7-2161-4dba-a0bc-919b8fb84cbb.png?alt=media&token=fc8acfbd-907f-4637-85aa-d21b122f5b26,"[1.0, 100.0, 3200.0]",c8eba0f7-2161-4dba-a0bc-919b8fb84cbb,1.0,Angle Grinder  Prescott,ANGLE GRINDER ,MACHINERY  & Tools,2022-01-07 06:43:17.841000+00:00,100.0,"[0.0, 0.0, 0.0]",3200.0,No Guarantee,"220v/50hz
750W
11000rpm","[0.0, 0.0, 0.0]",Made in China ,"[0.0, 0.0, 0.0]",POWER TOOLS,20.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/MACHINERY%20%20%26%20Tools%2FPOWER%20TOOLS%2FANGLE%20GRINDER%20%2FAngle%20Grinder%20atlas%20power_db11489b-65cf-4fdc-9426-b3cfc38cc590.png?alt=media&token=583713c0-ef3f-4bd4-b7c6-34224e9ea0db,"[1.0, 100.0, 2699.0]",db11489b-65cf-4fdc-9426-b3cfc38cc590,1.0,Angle Grinder atlas power,ANGLE GRINDER ,MACHINERY  & Tools,2022-01-07 06:26:30.232000+00:00,100.0,"[0.0, 0.0, 0.0]",2699.0,No Guarantee,"220v/50hz
750W
13000rpm","[0.0, 0.0, 0.0]",Made in China ,"[0.0, 0.0, 0.0]",POWER TOOLS,15.0,"[0.0, 0.0, 0.0]"
